index,datetime,UNIX,EDA,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,SessionID,Datetime,Date,Time,ElapsedMinutes,StartEnd,DateTime,timestamp,DeviceID,uptime,Status,measuretime,person,window_open,window_event,door_event,dHdt,dCO2dt,bat,bat_e,health,performance,virus,tvoc,tvoc_e,co2,co2_e,oxygen,oxygen_e,co,co_e,o3,o3_e,pm1,pm1_e,pm2_5,pm2_5_e,pm10,pm10_e,cnt0_3,cnt0_3_e,cnt0_5,cnt0_5_e,cnt1,cnt1_e,cnt2_5,cnt2_5_e,cnt5,cnt5_e,cnt10,cnt10_e,TypPS,temperature,temperature_e,humidity,humidity_e,humidity_abs,humidity_abs_e,dewpt,dewpt_e,pressure,pressure_e,pressure_rel,pressure_rel_e,no2,no2_e,so2,so2_e,h2s,h2s_e,sound,sound_e,sound_max,tvoc_ionsc,tvoc_ionsc_e,radon,radon_e,n2o,n2o_e,no2_insplorion,no2_insplorion_e,ch4_MIPEX,ch4_MIPEX_e,c3h8_MIPEX,c3h8_MIPEX_e,flammable,ethanol,ethanol_e,iaq_spec,iaq_spec_e,resp_irr_spec,resp_irr_spec_e,nh3_MR100,nh3_MR100_e,acid_M100,acid_M100_e,h2_M1000,h2_M1000_e,no_M250,no_M250_e,cl2_M20,cl2_M20_e,ch2o_M10,ch2o_M10_e,pm1_SPS30,pm1_SPS30_e,pm2_5_SPS30,pm2_5_SPS30_e,pm4_SPS30,pm4_SPS30_e,pm10_SPS30,pm10_SPS30_e,cnt0_5_SPS30,cnt0_5_SPS30_e,cnt1_SPS30,cnt1_SPS30_e,cnt2_5_SPS30,cnt2_5_SPS30_e,cnt4_SPS30,cnt4_SPS30_e,cnt10_SPS30,cnt10_SPS30_e,TypPS_SPS30,br2,f2,hf,hcl,hcn,ch4s,clo2,cs2,ph3,sih4,c2h4,c2h4o,ash3,h2o2,refrigerant
9,2022-11-30 08:00:00,1669795230,0.2503655333333333,0.2503655333333333,0.2503656548458333,0.2503535377,1.2117766666666666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:00:29.500000000,2022-11-30,2023-04-03 08:00:29,0.0,1,30.11.2022 09:01:35,1669795295000.0,880f01e687e2572cea04e80fc6a68085,132147.0,OK,1797.0,1.0,0.0,0.0,0.0,0.57,45.13,0.0,0.0,565.0,712.0,,215.363,32.3,490.086,64.7,20.936,0.81,1.596,0.23,12.145,1.61,9.584,11.0,13.675,11.24,14.387,11.33,1478.749,154.18,459.709,54.85,70.496,16.95,6.255,10.56,0.859,10.01,0.001,10.0,1.84,23.197,0.53,30.978,3.34,6.467,0.61,5.293,1.37,959.9979,1.0,,,22.141,2.4,149.019,15.22,,,13.276,19.91,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022-11-30 08:01:00,1669795290,0.2404197666666666,0.2404197666666666,0.2404197669625,0.2404933777,-7.361040833333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:01:29.500000000,2022-11-30,2023-04-03 08:01:29,1.0000000000000002,1,30.11.2022 09:01:35,1669795295000.0,880f01e687e2572cea04e80fc6a68085,132147.0,OK,1797.0,1.0,0.0,0.0,0.0,0.57,45.13,0.0,0.0,565.0,712.0,,215.363,32.3,490.086,64.7,20.936,0.81,1.596,0.23,12.145,1.61,9.584,11.0,13.675,11.24,14.387,11.33,1478.749,154.18,459.709,54.85,70.496,16.95,6.255,10.56,0.859,10.01,0.001,10.0,1.84,23.197,0.53,30.978,3.34,6.467,0.61,5.293,1.37,959.9979,1.0,,,22.141,2.4,149.019,15.22,,,13.276,19.91,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022-11-30 08:02:00,1669795350,0.2412201125,0.2412201125,0.2412204430208333,0.2410319247625,0.0001885188083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:02:29.500000000,2022-11-30,2023-04-03 08:02:29,2.0000000000000004,1,30.11.2022 09:01:35,1669795295000.0,880f01e687e2572cea04e80fc6a68085,132147.0,OK,1797.0,1.0,0.0,0.0,0.0,0.57,45.13,0.0,0.0,565.0,712.0,,215.363,32.3,490.086,64.7,20.936,0.81,1.596,0.23,12.145,1.61,9.584,11.0,13.675,11.24,14.387,11.33,1478.749,154.18,459.709,54.85,70.496,16.95,6.255,10.56,0.859,10.01,0.001,10.0,1.84,23.197,0.53,30.978,3.34,6.467,0.61,5.293,1.37,959.9979,1.0,,,22.141,2.4,149.019,15.22,,,13.276,19.91,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022-11-30 08:03:00,1669795410,0.2740824875,0.2740824875,0.2740817266791666,0.2740879384041667,-6.211541666666656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:03:29.500000000,2022-11-30,2023-04-03 08:03:29,3.0,1,30.11.2022 09:03:33,1669795413000.0,880f01e687e2572cea04e80fc6a68085,132266.0,OK,1787.0,1.0,0.0,0.0,0.0,0.44,66.55,0.0,0.0,631.0,703.0,,214.81,32.22,499.94,65.0,20.937,0.81,1.598,0.23,12.239,1.61,7.91,11.0,10.483,11.05,12.47,11.08,1302.083,137.0,414.109,50.36,47.447,14.67,4.294,10.43,2.811,10.31,0.818,10.0,2.742,23.222,0.53,31.062,3.34,6.494,0.61,5.354,1.36,960.026,1.0,,,22.59,2.38,151.209,15.34,,,13.029,19.99,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022-11-30 08:04:00,1669795470,0.3110480041666666,0.3110480041666666,0.311048823025,0.311334367,-0.0002855434333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:04:29.500000000,2022-11-30,2023-04-03 08:04:29,4.000000000000001,1,30.11.2022 09:03:33,1669795413000.0,880f01e687e2572cea04e80fc6a68085,132266.0,OK,1787.0,1.0,0.0,0.0,0.0,0.44,66.55,0.0,0.0,631.0,703.0,,214.81,32.22,499.94,65.0,20.937,0.81,1.598,0.23,12.239,1.61,7.91,11.0,10.483,11.05,12.47,11.08,1302.083,137.0,414.109,50.36,47.447,14.67,4.294,10.43,2.811,10.31,0.818,10.0,2.742,23.222,0.53,31.062,3.34,6.494,0.61,5.354,1.36,960.026,1.0,,,22.59,2.38,151.209,15.34,,,13.029,19.99,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022-11-30 08:05:00,1669795530,0.2906123666666666,0.2906123666666666,0.290613710275,0.2905941578166667,1.9552079166666653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:05:29.500000000,2022-11-30,2023-04-03 08:05:29,5.0,1,30.11.2022 09:05:34,1669795534000.0,880f01e687e2572cea04e80fc6a68085,132387.0,OK,1795.0,1.0,0.0,0.0,0.0,0.26,70.68,0.0,0.0,576.0,692.0,,215.365,32.3,511.956,65.36,20.937,0.81,1.6,0.23,12.157,1.61,9.3,11.0,11.721,11.01,12.868,11.09,1424.312,148.92,449.653,53.85,59.687,15.83,2.46,10.2,1.613,10.07,0.223,10.0,2.068,23.238,0.53,31.122,3.34,6.512,0.61,5.395,1.36,960.036,1.0,,,22.852,2.37,152.173,15.39,,,13.506,19.77,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022-11-30 08:06:00,1669795590,0.2741677958333333,0.2741677958333333,0.2741673771916667,0.2739840885874999,0.000183288575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:06:29.500000000,2022-11-30,2023-04-03 08:06:29,6.0,1,30.11.2022 09:05:34,1669795534000.0,880f01e687e2572cea04e80fc6a68085,132387.0,OK,1795.0,1.0,0.0,0.0,0.0,0.26,70.68,0.0,0.0,576.0,692.0,,215.365,32.3,511.956,65.36,20.937,0.81,1.6,0.23,12.157,1.61,9.3,11.0,11.721,11.01,12.868,11.09,1424.312,148.92,449.653,53.85,59.687,15.83,2.46,10.2,1.613,10.07,0.223,10.0,2.068,23.238,0.53,31.122,3.34,6.512,0.61,5.395,1.36,960.036,1.0,,,22.852,2.37,152.173,15.39,,,13.506,19.77,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022-11-30 08:07:00,1669795650,0.2814830375,0.2814830375,0.2814823111083333,0.2815193388583333,-3.702727499999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:07:29.500000000,2022-11-30,2023-04-03 08:07:29,7.0,1,30.11.2022 09:07:34,1669795654000.0,880f01e687e2572cea04e80fc6a68085,132507.0,OK,1794.0,1.0,0.0,0.0,0.0,0.18,99.82,0.0,0.0,586.0,682.0,,218.122,32.72,523.723,65.71,20.938,0.81,1.601,0.23,12.081,1.6,9.02,11.0,11.103,11.0,12.097,11.01,1327.383,139.49,418.225,50.82,52.981,15.17,2.174,10.23,1.788,10.17,0.023,10.0,1.956,23.261,0.53,31.201,3.34,6.537,0.61,5.452,1.36,960.024,1.0,,,22.951,2.36,152.266,15.4,,,13.052,19.98,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022-11-30 08:08:00,1669795710,0.2909005916666666,0.2909005916666666,0.2909019589083333,0.2905868741625,0.0003150849708333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:08:29.500000000,2022-11-30,2023-04-03 08:08:29,8.000000000000002,1,30.11.2022 09:07:34,1669795654000.0,880f01e687e2572cea04e80fc6a68085,132507.0,OK,1794.0,1.0,0.0,0.0,0.0,0.18,99.82,0.0,0.0,586.0,682.0,,218.122,32.72,523.723,65.71,20.938,0.81,1.601,0.23,12.081,1.6,9.02,11.0,11.103,11.0,12.097,11.01,1327.383,139.49,418.225,50.82,52.981,15.17,2.174,10.23,1.788,10.17,0.023,10.0,1.956,23.261,0.53,31.201,3.34,6.537,0.61,5.452,1.36,960.024,1.0,,,22.951,2.36,152.266,15.4,,,13.052,19.98,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022-11-30 08:09:00,1669795770,0.2944967291666666,0.2944967291666666,0.2944960228125,0.2948399012458333,-0.0003438781166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P01_1,2022-11-30 08:09:29.500000000,2022-11-30,2023-04-03 08:09:29,9.0,1,30.11.2022 09:09:34,1669795774000.0,880f01e687e2572cea04e80fc6a68085,132627.0,OK,1783.0,1.0,0.0,0.0,0.0,0.15,92.34,0.0,0.0,583.0,674.0,,219.437,32.92,532.229,65.97,20.933,0.81,1.602,0.23,11.921,1.6,9.105,11.0,10.401,11.0,11.412,11.0,1324.759,139.17,418.714,50.94,38.421,13.73,1.403,10.06,1.363,10.05,0.002,10.0,1.933,23.284,0.53,31.204,3.34,6.546,0.61,5.473,1.36,959.997,1.0,,,22.942,2.37,151.89,15.38,,,13.005,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
