UNIX,EDA
1677138482.0,0.121631
,0.1562
,0.103707
,0.098585
,0.112669
,0.07938
,0.069138
,0.083221
,0.044812
,0.084502
,0.090903
,0.051213
,0.034569
,0.049933
,0.023046
,0.012803
,0.0
,0.0
,0.0
,0.058895
,0.010243
,0.005121
,0.0
,0.0
,0.028167
,0.261187
,0.3124
,0.088343
,0.304718
,0.15748
,0.0
,0.0
,0.0
,0.008962
,0.285513
,0.212535
,0.192049
,0.247103
,0.410986
,0.405864
,0.171564
,0.147238
,0.144677
,0.304718
,0.289354
,0.38794
,0.282953
,0.448115
,0.453236
,0.480123
,0.647846
,0.595353
,0.597914
,0.814289
,0.730054
,0.392047
,0.225605
,0.724933
,0.662197
,0.772305
,0.683962
,0.471428
,0.348516
,0.018191
,0.476282
,0.412266
,0.535177
,0.473722
,0.218936
,0.35209
,0.336726
,0.631202
,0.720825
,0.576415
,0.497034
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0781
,0.042251
,0.069138
,0.111389
,0.204853
,0.27143
,0.23302
,0.519814
,0.236861
,0.431471
,0.727227
,0.860648
,0.837602
,1.148722
,1.280665
,1.334438
,1.260179
,0.545756
,1.002833
,1.279384
,0.589287
,1.388212
,1.191042
,1.14495
,1.083494
,1.366447
,0.433087
,1.120554
,1.175678
,0.553438
,1.293468
,0.52271
,0.531672
,1.631475
,2.00799
,2.004349
,1.832785
,1.913445
,2.023553
,2.078608
,2.140064
,2.132381
,2.149026
,2.101654
,2.077327
,2.169511
,2.151586
,2.111896
,2.091411
,2.070926
,2.046599
,2.024834
,2.01075
,2.000508
,1.986424
,1.988985
,1.980022
,1.96978
,1.953135
,1.942893
,1.941612
,1.942893
,1.926249
,1.918566
,1.912165
,1.900642
,1.895521
,1.885278
,1.883998
,1.871194
,1.863512
,1.85583
,1.850709
,1.843027
,1.843027
,1.839186
,1.845588
,1.839186
,1.511422
,1.30785
,1.11176
,1.492018
,1.661021
,1.678946
,1.689188
,1.726318
,1.763448
,1.878677
,1.936292
,1.951656
,1.999227
,1.97106
,1.85327
,1.837906
,1.569037
,1.452527
,1.608727
,1.671463
,1.793094
,1.392351
,1.191141
,1.192421
,1.357583
,1.580361
,1.698151
,1.757046
,1.678946
,1.737841
,1.809539
,1.931171
,1.946535
,1.914726
,1.821262
,1.499899
,1.360343
,1.582921
,1.611088
,1.61621
,1.561156
,1.707113
,0.859535
,0.750608
,1.059168
,1.283225
,1.358765
,1.293468
,1.125745
,0.694274
,1.171837
,1.584103
,1.684067
,1.689188
,1.707113
,1.826184
,1.824903
,1.707113
,1.703272
,1.844108
,1.969581
,1.800776
,1.31041
,1.164254
,1.831305
,2.060484
,2.077327
,2.031235
,2.310347
,2.259134
,1.886558
,1.62025
,1.548551
,1.521665
,1.365464
,1.547072
,1.766008
,1.81338
,1.827464
,1.828744
,1.824903
,1.831305
,1.85179
,1.842828
,1.827464
,1.81082
,1.822343
,1.833866
,1.81338
,1.822343
,1.818502
,1.809539
,1.808259
,1.799297
,1.787774
,1.785213
,1.753205
,1.703272
,1.701992
,1.69303
,1.6559
,1.666143
,1.746803
,1.833866
,1.830025
,1.840267
,1.905564
,1.853071
,1.869715
,1.951656
,1.905763
,1.877596
,1.93265
,1.890399
,1.890399
,1.976181
,1.983863
,1.968499
,1.958257
,1.951855
,1.955696
,1.954416
,1.946734
,1.954416
,1.958257
,1.953135
,1.949294
,1.962098
,1.956976
,1.950575
,1.951855
,1.964658
,1.987704
,1.994106
,1.978742
,2.012031
,2.045319
,2.093971
,2.129821
,2.142624
,2.141344
,2.133662
,2.134942
,2.118298
,2.104214
,2.081168
,2.120858
,2.151586
,2.181034
,2.214323
,2.233527
,2.259134
,2.274498
,2.278339
,2.293703
,2.274498
,2.298824
,2.298824
,2.325711
,2.351318
,2.383326
,2.405092
,2.433259
,2.43966
,2.406799
,2.381193
,2.346624
,2.346624
,2.345343
,2.319737
,2.303092
,2.291569
,2.287729
,2.273645
,2.260842
,2.248038
,2.237796
,2.227553
,2.221152
,2.218591
,2.212189
,2.201946
,2.204507
,2.203227
,2.195545
,2.187863
,2.187863
,2.171219
,2.168658
,2.162256
,2.167378
,2.191704
,2.218591
,2.248038
,2.269804
,2.29285
,2.291569
,2.306933
,2.309494
,2.303092
