UNIX,EDA
1677138482.0,0.121631
1677138482.25,0.1562
1677138482.5,0.103707
1677138482.75,0.098585
1677138483.0,0.112669
1677138483.25,0.07938
1677138483.5,0.069138
1677138483.75,0.083221
1677138484.0,0.044812
1677138484.25,0.084502
1677138484.5,0.090903
1677138484.75,0.051213
1677138485.0,0.034569
1677138485.25,0.049933
1677138485.5,0.023046
1677138485.75,0.012803
1677138486.0,0.0
1677138486.25,0.0
1677138486.5,0.0
1677138486.75,0.058895
1677138487.0,0.010243
1677138487.25,0.005121
1677138487.5,0.0
1677138487.75,0.0
1677138488.0,0.028167
1677138488.25,0.261187
1677138488.5,0.3124
1677138488.75,0.088343
1677138489.0,0.304718
1677138489.25,0.15748
1677138489.5,0.0
1677138489.75,0.0
1677138490.0,0.0
1677138490.25,0.008962
1677138490.5,0.285513
1677138490.75,0.212535
1677138491.0,0.192049
1677138491.25,0.247103
1677138491.5,0.410986
1677138491.75,0.405864
1677138492.0,0.171564
1677138492.25,0.147238
1677138492.5,0.144677
1677138492.75,0.304718
1677138493.0,0.289354
1677138493.25,0.38794
1677138493.5,0.282953
1677138493.75,0.448115
1677138494.0,0.453236
1677138494.25,0.480123
1677138494.5,0.647846
1677138494.75,0.595353
1677138495.0,0.597914
1677138495.25,0.814289
1677138495.5,0.730054
1677138495.75,0.392047
1677138496.0,0.225605
1677138496.25,0.724933
1677138496.5,0.662197
1677138496.75,0.772305
1677138497.0,0.683962
1677138497.25,0.471428
1677138497.5,0.348516
1677138497.75,0.018191
1677138498.0,0.476282
1677138498.25,0.412266
1677138498.5,0.535177
1677138498.75,0.473722
1677138499.0,0.218936
1677138499.25,0.35209
1677138499.5,0.336726
1677138499.75,0.631202
1677138500.0,0.720825
1677138500.25,0.576415
1677138500.5,0.497034
1677138500.75,0.0
1677138501.0,0.0
1677138501.25,0.0
1677138501.5,0.0
1677138501.75,0.0
1677138502.0,0.0
1677138502.25,0.0781
1677138502.5,0.042251
1677138502.75,0.069138
1677138503.0,0.111389
1677138503.25,0.204853
1677138503.5,0.27143
1677138503.75,0.23302
1677138504.0,0.519814
1677138504.25,0.236861
1677138504.5,0.431471
1677138504.75,0.727227
1677138505.0,0.860648
1677138505.25,0.837602
1677138505.5,1.148722
1677138505.75,1.280665
1677138506.0,1.334438
1677138506.25,1.260179
1677138506.5,0.545756
1677138506.75,1.002833
1677138507.0,1.279384
1677138507.25,0.589287
1677138507.5,1.388212
1677138507.75,1.191042
1677138508.0,1.14495
1677138508.25,1.083494
1677138508.5,1.366447
1677138508.75,0.433087
1677138509.0,1.120554
1677138509.25,1.175678
1677138509.5,0.553438
1677138509.75,1.293468
1677138510.0,0.52271
1677138510.25,0.531672
1677138510.5,1.631475
1677138510.75,2.00799
1677138511.0,2.004349
1677138511.25,1.832785
1677138511.5,1.913445
1677138511.75,2.023553
1677138512.0,2.078608
1677138512.25,2.140064
1677138512.5,2.132381
1677138512.75,2.149026
1677138513.0,2.101654
1677138513.25,2.077327
1677138513.5,2.169511
1677138513.75,2.151586
1677138514.0,2.111896
1677138514.25,2.091411
1677138514.5,2.070926
1677138514.75,2.046599
