UNIX,EDA
1677484984.0,0.057622
,0.081951
,0.076829
,0.076829
,0.074268
,0.069146
,0.058902
,0.058902
,0.058902
,0.057622
,0.056341
,0.055061
,0.055061
,0.055061
,0.056341
,0.057622
,0.056341
,0.058902
,0.058902
,0.058902
,0.056341
,0.056341
,0.057622
,0.058902
,0.060183
,0.058902
,0.057622
,0.057622
,0.058902
,0.058902
,0.058902
,0.058902
,0.060183
,0.060183
,0.060183
,0.061463
,0.061463
,0.061463
,0.060183
,0.061463
,0.061463
,0.061463
,0.060183
,0.062744
,0.061463
,0.064024
,0.064024
,0.066585
,0.064024
,0.062744
,0.062744
,0.061463
,0.062744
,0.062744
,0.062744
,0.062744
,0.064024
,0.062744
,0.066585
,0.065305
,0.064024
,0.065305
,0.064024
,0.065305
,0.064024
,0.065305
,0.065305
,0.064024
,0.065305
,0.065305
,0.065305
,0.064024
,0.067866
,0.066585
,0.066585
,0.067866
,0.069146
,0.070427
,0.069146
,0.069146
,0.067866
,0.067866
,0.067866
,0.069146
,0.069146
,0.070427
,0.069146
,0.070427
,0.070427
,0.070427
,0.069146
,0.067866
,0.071707
,0.069146
,0.069146
,0.069146
,0.069146
,0.067866
,0.069146
,0.067866
,0.070427
,0.070427
,0.071707
,0.070427
,0.072988
,0.074268
,0.072988
,0.074268
,0.058902
,0.074268
,0.076829
,0.078109
,0.076829
,0.075548
,0.078109
,0.07939
,0.08067
,0.092195
,0.08067
,0.07939
,0.08067
,0.075548
,0.076829
,0.078109
,0.076829
,0.076829
,0.074268
,0.076829
,0.075548
,0.07939
,0.078109
,0.076829
,0.078109
,0.076829
,0.076829
,0.076829
,0.076829
,0.078109
,0.07939
,0.076829
,0.07939
,0.076829
,0.08067
,0.07939
,0.08067
,0.081951
,0.08067
,0.08067
,0.08067
,0.081951
,0.08067
,0.08067
,0.08067
,0.08067
,0.081951
,0.081951
,0.083231
,0.081951
,0.08067
,0.07939
,0.081951
,0.07939
,0.083231
,0.081951
,0.081951
,0.081951
,0.083231
,0.081951
,0.084512
,0.084512
,0.085792
,0.084512
,0.084512
,0.084512
,0.083231
,0.083231
,0.084512
,0.085792
,0.090914
,0.089634
,0.094756
,0.098597
,0.103719
,0.117804
,0.094756
,0.094756
,0.093475
,0.092195
,0.094756
,0.093475
,0.092195
,0.096036
,0.092195
,0.090914
,0.092195
,0.092195
,0.094756
,0.094756
,0.099878
,0.101158
,0.105
,0.108841
,0.116524
,0.119085
,0.120365
,0.121646
,0.122926
,0.121646
,0.120365
,0.120365
,0.120365
,0.120365
,0.120365
,0.119085
,0.117804
,0.119085
,0.119085
,0.117804
,0.119085
,0.121646
,0.121646
,0.122926
,0.122926
,0.121646
,0.122926
,0.122926
,0.122926
,0.122926
,0.122926
,0.122926
,0.121646
,0.121646
,0.121646
,0.122926
,0.122926
,0.122926
,0.124207
,0.122926
,0.124207
,0.125487
,0.125487
,0.126768
,0.128048
,0.126768
,0.126768
,0.126768
,0.126768
,0.125487
,0.126768
,0.126768
,0.128048
,0.128048
,0.126768
,0.128048
,0.126768
,0.129329
,0.129329
,0.130609
,0.129329
,0.130609
,0.129329
,0.130609
,0.130609
,0.130609
,0.130609
,0.140853
,0.13189
,0.130609
,0.124207
,0.130609
,0.130609
,0.128048
,0.128048
,0.128048
,0.130609
,0.13189
,0.130609
,0.13189
,0.126768
,0.125487
,0.124207
,0.128048
,0.130609
,0.13317
,0.13317
,0.13189
,0.128048
,0.121646
,0.138292
,0.125487
,0.129329
,0.13189
,0.137012
,0.138292
,0.138292
