DateTime;timestamp;DeviceID;uptime;Status;measuretime;person;window_open;window_event;door_event;dHdt;dCO2dt;bat;bat_e;health;performance;virus;tvoc;tvoc_e;co2;co2_e;oxygen;oxygen_e;co;co_e;o3;o3_e;pm1;pm1_e;pm2_5;pm2_5_e;pm10;pm10_e;cnt0_3;cnt0_3_e;cnt0_5;cnt0_5_e;cnt1;cnt1_e;cnt2_5;cnt2_5_e;cnt5;cnt5_e;cnt10;cnt10_e;TypPS;temperature;temperature_e;humidity;humidity_e;humidity_abs;humidity_abs_e;dewpt;dewpt_e;pressure;pressure_e;pressure_rel;pressure_rel_e;no2;no2_e;so2;so2_e;h2s;h2s_e;sound;sound_e;sound_max;tvoc_ionsc;tvoc_ionsc_e;radon;radon_e;n2o;n2o_e;no2_insplorion;no2_insplorion_e;ch4_MIPEX;ch4_MIPEX_e;c3h8_MIPEX;c3h8_MIPEX_e;flammable;ethanol;ethanol_e;iaq_spec;iaq_spec_e;resp_irr_spec;resp_irr_spec_e;nh3_MR100;nh3_MR100_e;acid_M100;acid_M100_e;h2_M1000;h2_M1000_e;no_M250;no_M250_e;cl2_M20;cl2_M20_e;ch2o_M10;ch2o_M10_e;pm1_SPS30;pm1_SPS30_e;pm2_5_SPS30;pm2_5_SPS30_e;pm4_SPS30;pm4_SPS30_e;pm10_SPS30;pm10_SPS30_e;cnt0_5_SPS30;cnt0_5_SPS30_e;cnt1_SPS30;cnt1_SPS30_e;cnt2_5_SPS30;cnt2_5_SPS30_e;cnt4_SPS30;cnt4_SPS30_e;cnt10_SPS30;cnt10_SPS30_e;TypPS_SPS30;br2;f2;hf;hcl;hcn;ch4s;clo2;cs2;ph3;sih4;c2h4;c2h4o;ash3;h2o2;refrigerant
09.12.2022 01:00:56;1670544056000;880f01e687e2572cea04e80fc6a68085;880900;OK;1794;0;0;0;0;-0,0;-4,89;0;0;488;752;"";151,047;22,66;421,622;62,65;20,876;0,85;1,685;0,24;17,202;1,86;11,775;11,0;14,188;11,25;15,221;11,44;1713,572;176,61;537,095;62,24;48,683;14,84;2,666;10,3;1,264;10,0;0,06599999;10,0;1,862;19,813;0,54;29,783;3,42;5,112;0,52;1,795;1,43;946,694;1,0;"";"";22,89;2,32;38,302;10,49;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:02:56;1670544176000;880f01e687e2572cea04e80fc6a68085;881020;OK;1796;0;0;0;0;-0,01;8,15;0;0;508;751;"";150,01;22,5;426,166;62,78;20,877;0,85;1,688;0,24;17,2;1,86;11,156;11,0;14,043;11,06;15,264;11,48;1648,435;170,23;511,429;59,7;53,443;15,24;2,569;10,21;1,685;10,0;0,007;10,0;1,976;19,81;0,54;29,783;3,42;5,111;0,52;1,793;1,43;946,686;1,0;"";"";22,929;2,32;38,109;10,48;"";"";12,906;20,39;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:04:56;1670544296000;880f01e687e2572cea04e80fc6a68085;881140;OK;1783;0;0;0;0;0,05;15,1;0;0;497;752;"";149,284;22,39;427,024;62,81;20,875;0,85;1,69;0,24;17,267;1,87;11,507;11,0;14,659;11,2;15,949;11,7;1746,241;179,76;548,358;63,3;57,085;15,56;3,477;10,31;1,941;10,04;0,001;10,0;2,015;19,809;0,54;29,885;3,41;5,128;0,52;1,839;1,42;946,682;1,0;"";"";22,952;2,32;38,323;10,49;"";"";12,99;20,04;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:06:57;1670544417000;880f01e687e2572cea04e80fc6a68085;881261;OK;1795;0;0;0;0;0,06;11,14;0;0;511;752;"";149,583;22,44;425,549;62,77;20,876;0,85;1,692;0,24;17,335;1,87;11,114;11,0;13,351;11,04;14,329;11,36;1641,835;169,66;501,6;58,76;50,071;14,82;1,869;10,12;1,228;10,0;0,225;10,0;1,821;19,809;0,54;29,905;3,41;5,131;0,52;1,849;1,42;946,653;1,0;"";"";22,923;2,32;38,705;10,51;"";"";12,999;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:08:57;1670544537000;880f01e687e2572cea04e80fc6a68085;881381;OK;1778;0;0;0;0;0,04;-8,52;0;0;490;751;"";150,784;22,62;423,809;62,71;20,878;0,85;1,694;0,24;17,381;1,87;11,692;11,0;14,099;11,14;15,108;11,36;1732,22;178,43;538,594;62,34;45,899;14,54;2,196;10,16;1,423;10,07;0,023;10,0;1,829;19,808;0,54;29,89;3,41;5,129;0,52;1,841;1,42;946,61;1,0;"";"";22,973;2,32;38,713;10,51;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:10:57;1670544657000;880f01e687e2572cea04e80fc6a68085;881501;OK;1797;0;0;0;0;-0,04;-8,07;0;0;465;750;"";150,138;22,52;425,395;62,76;20,878;0,85;1,697;0,24;17,349;1,87;12,488;11,0;15,838;11,58;18,392;11,9;1791,011;184,2;561,128;64,57;57,653;15,61;6,315;10,56;3,186;10,2;1,014;10,0;2,495;19,807;0,54;29,814;3,41;5,115;0,52;1,804;1,42;946,606;1,0;"";"";23,082;2,31;38,604;10,51;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:12:58;1670544778000;880f01e687e2572cea04e80fc6a68085;881622;OK;1796;0;0;0;0;-0,06;1,57;0;0;472;749;"";151,004;22,65;426,001;62,78;20,876;0,85;1,699;0,24;17,384;1,87;12,256;11,0;14,314;11,17;15,288;11,29;1770,372;182,12;550,26;63,46;48,344;14,7;2,521;10,15;1,45;10,02;0,105;10,0;1,749;19,805;0,54;29,788;3,42;5,11;0,52;1,79;1,42;946,628;1,0;"";"";23,001;2,32;38,408;10,5;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:14:58;1670544898000;880f01e687e2572cea04e80fc6a68085;881742;OK;1787;0;0;0;0;-0,06;5,73;0;0;487;748;"";152,277;22,84;425,593;62,77;20,871;0,85;1,702;0,24;17,365;1,87;11,796;11,0;14,86;11,31;16,106;11,66;1735,375;178,73;547,394;63,21;61,254;15,96;3,706;10,27;1,558;10,08;0,011;10,0;1,97;19,803;0,54;29,784;3,42;5,109;0,52;1,786;1,43;946,614;1,0;"";"";22,983;2,32;38,517;10,5;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:17:00;1670545020000;880f01e687e2572cea04e80fc6a68085;881864;OK;1788;0;0;0;0;-0,02;5,83;0;0;488;748;"";152,338;22,85;427,39;62,82;20,875;0,85;1,704;0,24;17,378;1,87;11,765;11,0;15,694;11,62;16,358;11,74;1757,932;180,97;550,427;63,47;62,505;16,13;5,361;10,56;0,404;10,01;0,001;10,0;1,714;19,804;0,54;29,785;3,42;5,109;0,52;1,787;1,43;946,549;1,0;"";"";22,931;2,32;38,64;10,51;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
09.12.2022 01:19:00;1670545140000;880f01e687e2572cea04e80fc6a68085;881984;OK;1783;0;0;0;0;-0,0;7,34;0;0;473;748;"";153,392;23,01;428,917;62,87;20,879;0,85;1,706;0,24;17,376;1,87;12,22;11,0;15,686;11,62;16,055;11,64;1768,72;182,04;552,905;63,73;55,389;15,39;2,037;10,22;0,437;10,0;0,0;10,0;1,535;19,804;0,54;29,784;3,42;5,109;0,52;1,787;1,43;946,502;1,0;"";"";23,034;2,31;38,795;10,51;"";"";13,0;20,0;13,0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
